# Columnas:
# 1. rho_input  : Coeficiente de correlación introducido en las matrices de covarianza.
# 2. Vud_mean   : Valor central (media) obtenido para |Vud|.
# 3. Vud_sdev   : Incertidumbre (desviación estándar) de |Vud|.
# 4. Vus_mean   : Valor central (media) obtenido para |Vus|.
# 5. Vus_sdev   : Incertidumbre (desviación estándar) de |Vus|.
# 6. rho_ajuste : Coeficiente de correlación final entre |Vud| y |Vus| (lsqfit).
# 7. chi2        : Valor de chi-cuadrado/ grados de libertad del ajuste.
# =========================================================================
 rho_input  	  Vud_mean  	  Vud_sdev  	  Vus_mean  	  Vus_sdev  	 rho_ajuste 	    chi2    
#-----------------------------------------------------------------------------------------------
   -1.000000	    0.973929	    0.000288	    0.224181	    0.000024	    1.000000	    3.184206
   -0.979798	    0.973930	    0.000288	    0.224174	    0.000054	    0.430243	    3.184040
   -0.959596	    0.973931	    0.000288	    0.224166	    0.000072	    0.309632	    3.184020
   -0.939394	    0.973931	    0.000288	    0.224158	    0.000087	    0.248598	    3.184147
   -0.919192	    0.973932	    0.000288	    0.224151	    0.000099	    0.209579	    3.184423
   -0.898990	    0.973933	    0.000288	    0.224143	    0.000109	    0.181596	    3.184850
   -0.878788	    0.973933	    0.000288	    0.224136	    0.000119	    0.160098	    3.185428
   -0.858586	    0.973934	    0.000289	    0.224129	    0.000128	    0.142808	    3.186159
   -0.838384	    0.973934	    0.000289	    0.224122	    0.000136	    0.128440	    3.187046
   -0.818182	    0.973935	    0.000289	    0.224115	    0.000144	    0.116203	    3.188090
   -0.797980	    0.973935	    0.000289	    0.224108	    0.000151	    0.105582	    3.189294
   -0.777778	    0.973936	    0.000289	    0.224101	    0.000158	    0.096224	    3.190659
   -0.757576	    0.973936	    0.000289	    0.224094	    0.000164	    0.087875	    3.192189
   -0.737374	    0.973937	    0.000289	    0.224087	    0.000170	    0.080350	    3.193886
   -0.717172	    0.973937	    0.000289	    0.224081	    0.000176	    0.073510	    3.195754
   -0.696970	    0.973937	    0.000289	    0.224074	    0.000182	    0.067246	    3.197795
   -0.676768	    0.973938	    0.000289	    0.224068	    0.000187	    0.061474	    3.200013
   -0.656566	    0.973938	    0.000289	    0.224062	    0.000192	    0.056124	    3.202411
   -0.636364	    0.973938	    0.000289	    0.224056	    0.000197	    0.051143	    3.204994
   -0.616162	    0.973939	    0.000289	    0.224049	    0.000202	    0.046485	    3.207766
   -0.595960	    0.973939	    0.000289	    0.224043	    0.000207	    0.042112	    3.210730
   -0.575758	    0.973939	    0.000289	    0.224037	    0.000211	    0.037993	    3.213893
   -0.555556	    0.973939	    0.000289	    0.224032	    0.000216	    0.034101	    3.217258
   -0.535354	    0.973940	    0.000289	    0.224026	    0.000220	    0.030413	    3.220832
   -0.515152	    0.973940	    0.000289	    0.224020	    0.000224	    0.026910	    3.224620
   -0.494949	    0.973940	    0.000289	    0.224014	    0.000228	    0.023574	    3.228628
   -0.474747	    0.973940	    0.000289	    0.224009	    0.000232	    0.020392	    3.232862
   -0.454545	    0.973940	    0.000289	    0.224003	    0.000236	    0.017349	    3.237330
   -0.434343	    0.973940	    0.000289	    0.223998	    0.000240	    0.014434	    3.242039
   -0.414141	    0.973940	    0.000289	    0.223992	    0.000243	    0.011638	    3.246997
   -0.393939	    0.973940	    0.000289	    0.223987	    0.000247	    0.008950	    3.252212
   -0.373737	    0.973940	    0.000289	    0.223982	    0.000250	    0.006364	    3.257692
   -0.353535	    0.973940	    0.000289	    0.223976	    0.000254	    0.003872	    3.263448
   -0.333333	    0.973940	    0.000289	    0.223971	    0.000257	    0.001467	    3.269489
   -0.313131	    0.973939	    0.000289	    0.223966	    0.000260	   -0.000856	    3.275827
   -0.292929	    0.973939	    0.000289	    0.223961	    0.000263	   -0.003103	    3.282472
   -0.272727	    0.973939	    0.000289	    0.223956	    0.000266	   -0.005280	    3.289436
   -0.252525	    0.973939	    0.000289	    0.223951	    0.000270	   -0.007389	    3.296734
   -0.232323	    0.973938	    0.000289	    0.223946	    0.000273	   -0.009436	    3.304379
   -0.212121	    0.973938	    0.000289	    0.223941	    0.000275	   -0.011423	    3.312385
   -0.191919	    0.973937	    0.000289	    0.223936	    0.000278	   -0.013356	    3.320768
   -0.171717	    0.973937	    0.000289	    0.223932	    0.000281	   -0.015236	    3.329547
   -0.151515	    0.973937	    0.000289	    0.223927	    0.000284	   -0.017066	    3.338738
   -0.131313	    0.973936	    0.000289	    0.223922	    0.000287	   -0.018850	    3.348362
   -0.111111	    0.973935	    0.000289	    0.223918	    0.000289	   -0.020590	    3.358440
   -0.090909	    0.973935	    0.000289	    0.223913	    0.000292	   -0.022288	    3.368995
   -0.070707	    0.973934	    0.000289	    0.223909	    0.000295	   -0.023947	    3.380050
   -0.050505	    0.973933	    0.000289	    0.223904	    0.000297	   -0.025568	    3.391633
   -0.030303	    0.973932	    0.000289	    0.223900	    0.000300	   -0.027154	    3.403771
   -0.010101	    0.973931	    0.000289	    0.223895	    0.000302	   -0.028706	    3.416496
    0.010101	    0.973930	    0.000289	    0.223891	    0.000304	   -0.030227	    3.429841
    0.030303	    0.973929	    0.000289	    0.223887	    0.000307	   -0.031717	    3.443841
    0.050505	    0.973928	    0.000289	    0.223882	    0.000309	   -0.033179	    3.458536
    0.070707	    0.973927	    0.000289	    0.223878	    0.000311	   -0.034614	    3.473968
    0.090909	    0.973926	    0.000289	    0.223874	    0.000314	   -0.036023	    3.490183
    0.111111	    0.973924	    0.000289	    0.223869	    0.000316	   -0.037408	    3.507232
    0.131313	    0.973923	    0.000289	    0.223865	    0.000318	   -0.038770	    3.525169
    0.151515	    0.973921	    0.000289	    0.223861	    0.000320	   -0.040110	    3.544056
    0.171717	    0.973919	    0.000289	    0.223857	    0.000322	   -0.041430	    3.563957
